"rings"	"length"	"diameter"	"height"	"whole"	"shucked"	"viscera"	"shell"	"infant"
"1"	10	115	90	0.135	174.3	90	32.4	45	1
"2"	3	42	30	0.05	7.7	3.1	1.7	2	0
"3"	13	99	76	0.145	103	35	19.6	42.4	1
"4"	21	134	110	0.17	249.4	94.4	49.1	80	0
"5"	3	22	18	0.03	1.6	0.5	0.4	0.6	1
"6"	9	118	94	0.155	234.7	124.9	46.6	51.9	0
"7"	11	109	83	0.15	146.7	55.9	32.6	43.7	0
"8"	9	124	93	0.14	232.1	120.1	43.9	61.4	0
"9"	7	95	73	0.115	91.8	43.5	18.6	23.3	1
"10"	10	116	92	0.155	287.9	134.3	54.6	59.1	0
"11"	10	106	77	0.125	133.9	57.8	30.2	36	0
"12"	10	118	91	0.15	195.2	93	41.1	55.3	0
"13"	16	118	97	0.12	182.2	78	36.4	58	0
"14"	13	116	95	0.165	207.7	82.8	52	61	0
"15"	8	105	77	0.1	102.3	49.2	20.1	29.1	0
"16"	16	107	81	0.125	185.4	52	28.5	69	0
"17"	8	94	75	0.12	120.3	55.3	29.1	27	0
"18"	7	92	70	0.115	83.1	36	19.6	23.5	1
"19"	8	104	80	0.14	124.4	55.6	29.1	33.8	1
"20"	6	90	66	0.1	82.2	38.9	20	19.6	1
"21"	11	123	95	0.175	238.8	111.8	51.8	63.3	0
"22"	8	94	73	0.12	122.4	65.4	30	28	0
"23"	8	111	88	0.145	170	83.3	33.7	46	0
"24"	7	96	72	0.125	108.4	55.9	20.5	29.4	1
"25"	14	123	94	0.175	259.7	102.7	68.6	64	0
"26"	6	59	44	0.07	25.2	10.3	5.5	7	1
"27"	18	128	101	0.165	288.7	122.9	60.7	78	0
"28"	7	85	65	0.11	66.7	34.6	9	20	1
"29"	8	123	101	0.19	280.6	134.3	58.5	73	0
"30"	9	106	82	0.125	153.8	69.2	34.6	43	0
"31"	10	118	93	0.17	208.5	92.7	48	54	0
"32"	10	114	87	0.145	181.1	78.5	47.1	55	0
"33"	10	125	98	0.12	175.3	91.2	36	46.6	0
"34"	7	68	50	0.07	44.5	20.8	8.5	11	1
"35"	9	123	93	0.15	184.6	92.3	36.5	48.3	0
"36"	6	99	80	0.155	161.7	46.9	23.1	70	0
